2025-10-03 21:12:48.924347 - [INFO] Monitoring System for Normal events...
2025-10-03 21:12:48.927352 - [INFO] Monitoring Application for Normal events...
2025-10-03 21:12:48.927352 - [INFO] Monitoring: System, Application
2025-10-03 21:12:48.956944 - [NORMAL] Netwtw14_42823 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:14.947848 - [NORMAL] Software Protection Platform Service_20060 | EventID: 16384 | Level: Information | Message: <The description for Event ID ( 16384 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):'2125-09-09T14:09:35Z, RulesEngine'.>
2025-10-03 21:13:14.947848 - [NORMAL] Netwtw14_42825 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:14.948851 - [NORMAL] Software Protection Platform Service_20061 | EventID: 16394 | Level: Information | Message: <The description for Event ID ( 16394 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:14.949851 - [NORMAL] Netwtw14_42826 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:14.950855 - [NORMAL] Software Protection Platform Service_20062 | EventID: 16384 | Level: Information | Message: <The description for Event ID ( 16384 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):'2125-09-09T14:22:19Z, RulesEngine'.>
2025-10-03 21:13:14.951852 - [NORMAL] Netwtw14_42828 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:14.951852 - [NORMAL] Edge_20063 | EventID: 256 | Level: Information | Message: <The description for Event ID ( 256 ) in Source ( 'Edge' ) could not be found. It contains the following insertion string(s):'[13720:636:1003/202235.562:INFO:chrome\\browser\\extensions\\extension_garbage_collector.cc:184] Garbage collection for extensions on file thread is complete.'.>
2025-10-03 21:13:14.952853 - [NORMAL] Netwtw14_42830 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:14.953900 - [NORMAL] Software Protection Platform Service_20064 | EventID: 16394 | Level: Information | Message: <The description for Event ID ( 16394 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:14.955856 - [NORMAL] Netwtw14_42832 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:14.955856 - [NORMAL] Software Protection Platform Service_20065 | EventID: 16384 | Level: Information | Message: <The description for Event ID ( 16384 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):'2125-09-09T15:02:55Z, RulesEngine'.>
2025-10-03 21:13:14.957851 - [NORMAL] Software Protection Platform Service_20066 | EventID: 16394 | Level: Information | Message: <The description for Event ID ( 16394 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:14.958854 - [NORMAL] Software Protection Platform Service_20067 | EventID: 16384 | Level: Information | Message: <The description for Event ID ( 16384 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):'2125-09-09T15:13:43Z, RulesEngine'.>
2025-10-03 21:13:14.960849 - [NORMAL] Edge_20068 | EventID: 256 | Level: Information | Message: <The description for Event ID ( 256 ) in Source ( 'Edge' ) could not be found. It contains the following insertion string(s):'[992:20760:1003/204543.053:INFO:chrome\\browser\\extensions\\extension_garbage_collector.cc:184] Garbage collection for extensions on file thread is complete.'.>
2025-10-03 21:13:14.962853 - [NORMAL] Software Protection Platform Service_20069 | EventID: 16394 | Level: Information | Message: <The description for Event ID ( 16394 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:14.966850 - [NORMAL] Software Protection Platform Service_20070 | EventID: 16384 | Level: Information | Message: <The description for Event ID ( 16384 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):'2125-09-09T15:21:23Z, RulesEngine'.>
2025-10-03 21:13:14.969852 - [NORMAL] Software Protection Platform Service_20071 | EventID: 16394 | Level: Information | Message: <The description for Event ID ( 16394 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:14.970852 - [NORMAL] Software Protection Platform Service_20072 | EventID: 16384 | Level: Information | Message: <The description for Event ID ( 16384 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):'2125-09-09T15:27:09Z, RulesEngine'.>
2025-10-03 21:13:19.317841 - [INFO] Monitoring System for Normal events...
2025-10-03 21:13:19.319840 - [INFO] Monitoring Application for Normal events...
2025-10-03 21:13:19.320735 - [INFO] Monitoring: System, Application
2025-10-03 21:13:19.344325 - [NORMAL] Netwtw14_42823 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:19.345309 - [NORMAL] Edge_20058 | EventID: 256 | Level: Information | Message: <The description for Event ID ( 256 ) in Source ( 'Edge' ) could not be found. It contains the following insertion string(s):'[2716:19600:1003/193757.194:INFO:chrome\\browser\\extensions\\extension_garbage_collector.cc:184] Garbage collection for extensions on file thread is complete.'.>
2025-10-03 21:13:19.346315 - [NORMAL] Netwtw14_42824 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:19.347310 - [NORMAL] Software Protection Platform Service_20059 | EventID: 16394 | Level: Information | Message: <The description for Event ID ( 16394 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:19.351313 - [NORMAL] Netwtw14_42825 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:19.351313 - [NORMAL] Software Protection Platform Service_20060 | EventID: 16384 | Level: Information | Message: <The description for Event ID ( 16384 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):'2125-09-09T14:09:35Z, RulesEngine'.>
2025-10-03 21:13:19.355311 - [NORMAL] Netwtw14_42826 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:19.355311 - [NORMAL] Software Protection Platform Service_20061 | EventID: 16394 | Level: Information | Message: <The description for Event ID ( 16394 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:19.357317 - [NORMAL] Netwtw14_42828 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:19.358313 - [NORMAL] Software Protection Platform Service_20062 | EventID: 16384 | Level: Information | Message: <The description for Event ID ( 16384 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):'2125-09-09T14:22:19Z, RulesEngine'.>
2025-10-03 21:13:19.359313 - [NORMAL] Netwtw14_42830 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:19.360312 - [NORMAL] Edge_20063 | EventID: 256 | Level: Information | Message: <The description for Event ID ( 256 ) in Source ( 'Edge' ) could not be found. It contains the following insertion string(s):'[13720:636:1003/202235.562:INFO:chrome\\browser\\extensions\\extension_garbage_collector.cc:184] Garbage collection for extensions on file thread is complete.'.>
2025-10-03 21:13:19.362461 - [NORMAL] Netwtw14_42832 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:19.363467 - [NORMAL] Software Protection Platform Service_20064 | EventID: 16394 | Level: Information | Message: <The description for Event ID ( 16394 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:19.366464 - [NORMAL] Microsoft-Windows-IsolatedUserMode_42834 | EventID: 5 | Level: Information | Message: <The description for Event ID ( 5 ) in Source ( 'Microsoft-Windows-IsolatedUserMode' ) could not be found. It contains the following insertion string(s):'0, 0, 0, NULL'.>
2025-10-03 21:13:19.367465 - [NORMAL] Software Protection Platform Service_20065 | EventID: 16384 | Level: Information | Message: <The description for Event ID ( 16384 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):'2125-09-09T15:02:55Z, RulesEngine'.>
2025-10-03 21:13:19.375468 - [NORMAL] Software Protection Platform Service_20066 | EventID: 16394 | Level: Information | Message: <The description for Event ID ( 16394 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:19.378462 - [NORMAL] Software Protection Platform Service_20067 | EventID: 16384 | Level: Information | Message: <The description for Event ID ( 16384 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):'2125-09-09T15:13:43Z, RulesEngine'.>
2025-10-03 21:13:19.381470 - [NORMAL] Edge_20068 | EventID: 256 | Level: Information | Message: <The description for Event ID ( 256 ) in Source ( 'Edge' ) could not be found. It contains the following insertion string(s):'[992:20760:1003/204543.053:INFO:chrome\\browser\\extensions\\extension_garbage_collector.cc:184] Garbage collection for extensions on file thread is complete.'.>
2025-10-03 21:13:19.384968 - [NORMAL] Software Protection Platform Service_20069 | EventID: 16394 | Level: Information | Message: <The description for Event ID ( 16394 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:19.387029 - [NORMAL] Software Protection Platform Service_20070 | EventID: 16384 | Level: Information | Message: <The description for Event ID ( 16384 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):'2125-09-09T15:21:23Z, RulesEngine'.>
2025-10-03 21:13:19.389966 - [NORMAL] Software Protection Platform Service_20071 | EventID: 16394 | Level: Information | Message: <The description for Event ID ( 16394 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:19.391969 - [NORMAL] Software Protection Platform Service_20072 | EventID: 16384 | Level: Information | Message: <The description for Event ID ( 16384 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):'2125-09-09T15:27:09Z, RulesEngine'.>
